"","OBJECTID","EXPEDIENTE","DEPARTAMENTO","PARCELARIO AJUSTADO","CORREGIDO","FECHA","...7","COMENTARIO -DIANMIGE","RESUELTO","...10","...11","...12","RESUMEN","...14"
"1",140715,"0800712022287","RIO NEGRO","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"2",159514,"0800712022655","RIVERA","NO","SI","13/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"3",145117,"0800712022522","RIO NEGRO","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"4",116717,"0800712021484","RIO NEGRO","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"5",151114,"0800712022691","DURAZNO","NO","NO NECESITA","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"6",115915,"08007120051987","ARTIGAS","SI","SI","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"7",14326,"08007120151315","ARTIGAS","SI","SI","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"8",9801,"0800712016310","SAN JOSE","SI","SI","29/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"9",111114,"0800712021167","FLORES","SI","SI","30/12/2022","PADRON 3173 PASÓ A 8994",NA,NA,NA,NA,NA,NA,NA
"10",83491,"08007120141431","CANELONES","SI","SI","02/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"11",137117,"0800712022119","PAYSANDÚ","SI","SI","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"12",8573,"08007120141279","ARTIGAS","SI","NO NECESITA","11/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"13",79888,"080071202031","MONTEVIDEO","SI","SI","09/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"14",28905,"0800711997559","COLONIA","SI","SI","27/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"15",122323,"0800712021737","TREINTA Y TRES","SI","NO NECESITA","05/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"16",9029,"0800712007947","MALDONADO","SI","SI","03/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"17",74688,"0800712019914","PAYSANDÚ","SI","NO NECESITA","30/12/2022",NA,NA,NA,NA,NA,NA,NA,NA
"18",159114,"0800712022985","ARTIGAS","SI","NO NECESITA","09/01/2023","NO APARECE AL BUSCARLO POR EXPEDIENTE EN VISUALIZADOR, SI EN EL SHAPE",NA,NA,NA,NA,NA,NA,NA
"19",122333,"0800712021662","CANELONES","SI","NO NECESITA","03/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"20",129520,"08007120211058","CANELONES","SI","SI","02/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"21",128320,"0800712021979","TREINTA Y TRES","SI","NO NECESITA","05/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"22",8725,"08007120142850","COLONIA","SI","SI","27/12/2022",NA,NA,NA,NA,NA,NA,"SAN JOSE",NA
"23",80288,"080071202039","TREINTA Y TRES","SI","SI","05/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"24",112314,"0800712021135","TACUAREMBO","NO","NO NECESITA","10/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
"25",42231,"0800712018109","ARTIGAS","SI","SI","12/01/2023",NA,NA,NA,NA,NA,NA,NA,NA
