"id","elementos","ele_corr","remesa","extremos","intersecc","g1","g2","g3","g5","g51","t1","t2","gl1","gl2","gl3","gl4","l1","l2","l3","l4","error"
193557,646,646,12,226,223,0,5,646,3,0,0,54,187,185,10,0,0,1,0,0,"NO"
191328,223,223,12,65,63,0,0,223,7,0,0,7,15,13,4,0,0,1,0,0,"NO"
191084,209,209,12,69,68,0,0,209,1,0,0,22,69,9,69,0,0,0,0,0,"NO"
191775,819,819,11,299,298,2,5,819,31,1,0,37,252,247,10,0,0,2,0,0,"NO"
193372,609,609,12,256,253,1,4,609,5,0,0,44,256,253,256,0,0,0,0,0,"NO"
191459,419,419,12,197,196,0,0,419,1,0,0,14,197,196,197,0,0,0,0,0,"NO"
189228,306,303,12,74,72,2,2,303,20,0,0,26,74,74,1,0,3,0,0,0,"NO"
191095,221,219,12,47,46,6,1,219,2,0,0,6,28,28,0,0,2,0,0,0,"NO"
192594,782,782,12,148,147,6,11,782,17,0,0,19,40,36,5,0,0,0,0,0,"NO"
188637,402,402,12,104,113,2,12,402,14,0,0,50,104,104,104,0,0,0,4,0,"NO"
194656,650,649,12,214,222,5,1,649,13,0,0,48,158,158,7,0,0,0,6,1,"NO"
191481,215,213,12,36,35,0,2,213,10,0,0,14,36,12,36,0,2,0,0,0,"NO"
191143,1326,1319,12,216,215,7,38,1319,9,0,0,139,216,216,3,0,7,0,0,0,"NO"
191452,465,459,12,86,86,0,2,459,4,0,0,42,35,35,1,0,0,0,11,6,"NO"
192552,335,325,12,87,86,0,0,325,17,0,0,40,41,41,2,0,3,37,9,7,"NO"
191412,204,202,11,70,69,0,3,202,1,0,0,6,70,70,70,0,2,0,0,0,"NO"
193540,1500,1499,12,495,500,0,8,1499,5,0,0,87,450,450,16,0,1,0,0,0,"NO"
191109,815,810,12,201,204,1,12,810,12,4,0,154,186,186,3,0,5,0,0,0,"NO"
190484,268,267,12,66,65,1,0,267,9,0,0,45,66,66,1,0,1,0,0,0,"NO"
190317,683,663,10,139,137,7,4,663,84,0,0,67,136,136,1,0,2,2,57,18,"NO"
188648,490,486,10,102,100,0,1,486,86,0,0,29,71,70,1,0,0,1,0,4,"NO"
192299,347,345,11,119,118,1,0,345,33,0,0,23,119,109,119,0,2,0,0,0,"NO"
190626,352,352,10,85,86,0,3,352,11,0,0,24,85,84,85,0,0,0,0,0,"NO"
192747,289,287,10,81,80,1,0,287,1,0,0,57,81,81,2,0,2,0,0,0,"NO"
193420,579,572,10,157,156,0,6,572,4,0,0,72,157,157,5,0,0,2,8,7,"NO"
192110,615,614,10,115,122,2,5,614,13,0,0,114,115,115,2,0,1,2,0,0,"NO"
190361,1363,1360,10,549,547,2,6,1360,9,0,0,88,549,549,11,0,3,0,0,0,"SI"
194117,1015,1015,10,400,398,2,4,1015,10,0,0,59,400,400,10,0,0,1,0,0,"NO"
192335,708,706,10,266,265,0,5,706,3,1,0,34,266,266,6,0,2,0,0,0,"NO"
194277,859,859,10,336,335,1,3,859,9,0,0,19,336,211,336,0,0,1,0,0,"SI"
194724,905,905,8,307,306,45,6,905,6,0,0,30,276,276,4,0,0,0,0,0,"NO"
192211,114,107,11,33,43,3,0,107,4,0,0,18,33,33,4,0,4,7,3,3,"NO"
194204,237,235,11,97,96,0,0,235,6,0,0,3,3,3,0,0,2,0,0,0,"NO"
191546,139,137,11,54,53,0,1,137,6,0,0,7,46,46,2,0,2,0,0,0,"NO"
190955,124,122,11,44,42,1,0,122,0,0,0,2,32,32,2,0,2,0,0,0,"NO"
191810,214,213,11,72,71,0,0,213,1,0,0,22,72,72,1,0,1,0,0,0,"NO"
193654,265,265,11,85,84,3,0,265,17,0,0,23,79,79,2,0,0,1,0,0,"NO"
191152,279,278,11,127,126,0,3,278,7,0,0,13,127,125,127,0,1,0,0,0,"NO"
193388,299,297,11,88,89,0,3,297,16,0,0,25,54,52,3,0,2,0,0,0,"NO"
193657,199,194,11,37,38,0,1,194,18,0,0,23,37,35,37,0,2,0,0,1,"NO"
192469,327,313,11,86,87,0,1,313,23,0,0,21,86,86,5,0,4,2,12,10,"NO"
192043,225,224,11,92,91,0,0,224,5,0,0,10,92,92,0,0,1,0,0,0,"NO"
192271,175,173,11,71,70,1,1,173,5,0,0,10,71,71,2,0,2,1,0,0,"NO"
194544,438,424,8,156,155,3,0,424,26,0,0,36,137,137,2,0,14,0,0,0,"NO"
194125,599,597,8,78,78,0,8,597,50,0,0,46,69,68,2,0,2,0,0,0,"NO"
193721,468,468,8,193,191,1,3,468,16,0,0,15,188,188,3,0,0,0,0,0,"NO"
191200,637,637,8,272,270,4,2,637,28,2,0,16,244,243,9,0,0,0,0,0,"NO"
191988,220,220,8,58,59,0,1,220,15,0,0,15,58,58,2,0,0,0,0,0,"SI"
193323,1046,1044,8,304,302,0,5,1044,93,0,0,46,304,304,289,0,1,0,0,1,"NO"
194415,383,341,8,83,88,4,5,341,36,0,0,26,83,68,83,0,34,4,3,8,"NO"
194259,348,341,8,60,64,1,1,341,50,0,0,36,60,60,0,0,6,0,0,1,"SI"
194542,1510,1510,8,604,600,1,3,1510,40,0,0,57,584,582,22,0,0,0,0,0,"NO"
193290,280,280,8,106,105,0,0,280,4,0,0,14,90,90,2,0,0,0,0,0,"NO"
191194,240,240,8,72,71,0,5,240,4,0,0,30,54,52,3,0,0,0,0,0,"NO"
192949,244,243,5,78,77,0,3,243,3,0,0,24,78,78,3,0,1,0,0,0,"NO"
194471,363,363,8,75,75,0,8,335,4,0,2,15,39,39,1,0,0,0,0,0,"SI"
194578,402,397,2,54,53,0,3,4,3,0,0,26,54,54,4,0,1,0,0,4,"NO"
193524,344,342,10,76,75,2,7,342,10,0,0,24,76,76,0,0,2,0,0,0,"NO"
193748,449,449,2,92,93,0,6,0,2,0,0,41,92,92,2,0,0,2,0,0,"NO"
194514,271,271,2,84,89,0,2,0,0,0,0,17,84,48,84,0,0,2,1,0,"NO"
194313,144,142,10,41,40,0,0,142,7,0,0,2,10,8,2,0,2,0,0,0,"NO"
192682,1127,1127,4,308,307,2,12,0,14,0,0,152,306,306,6,0,0,0,0,0,"NO"
189005,697,695,10,184,189,0,10,695,7,0,0,66,184,182,184,0,2,0,0,0,"NO"
193277,225,224,10,53,52,0,1,224,5,0,0,9,53,53,0,0,1,0,0,0,"NO"
194323,565,563,4,149,148,9,7,0,17,0,0,93,149,149,4,0,2,1,0,0,"SI"
189222,389,389,10,133,132,0,2,389,5,2,0,39,133,133,133,0,0,0,0,0,"NO"
189062,579,579,10,192,189,3,2,579,20,3,0,52,191,191,10,0,0,3,0,0,"NO"
191244,186,184,10,47,46,0,0,184,6,2,0,57,44,44,23,0,2,0,0,0,"NO"
192833,544,544,4,139,138,8,3,0,42,0,0,55,139,139,4,0,0,0,0,0,"NO"
190158,93,89,4,24,23,0,2,0,10,0,0,9,18,18,0,0,4,0,0,0,"NO"
191804,589,588,10,192,190,0,5,588,41,0,0,60,192,192,5,0,1,2,0,0,"NO"
188742,422,420,10,132,145,1,1,420,34,0,0,39,132,129,132,0,0,0,0,0,"NO"
191803,392,388,10,135,133,0,0,388,15,1,0,30,132,132,3,0,4,0,0,0,"NO"
191809,167,165,10,41,44,0,1,165,19,0,0,22,41,41,41,0,2,1,0,0,"NO"
194052,888,884,2,179,179,0,7,4,4,0,0,110,179,179,4,0,2,0,0,0,"NO"
188890,1585,1583,2,367,370,0,15,6,18,0,0,152,361,361,4,0,2,0,0,0,"NO"
189655,437,437,4,115,114,0,10,1,17,0,1,54,115,99,115,0,0,0,0,0,"NO"
192004,817,808,4,258,257,1,3,1,38,0,0,63,258,258,10,0,9,0,1,0,"NO"
189204,389,386,3,89,91,0,0,0,25,0,2,25,81,81,4,0,3,0,0,0,"SI"
193125,186,182,3,33,32,0,0,0,10,0,0,43,33,33,0,0,4,0,0,0,"NO"
193200,235,231,3,66,65,0,8,0,9,0,0,7,51,51,0,0,4,0,0,0,"NO"
194686,958,956,3,244,245,3,17,0,30,1,0,74,227,226,14,0,2,0,0,0,"NO"
192396,364,353,3,102,100,0,5,0,22,0,0,21,102,84,102,0,0,0,0,11,"NO"
190022,170,167,3,27,26,1,0,0,22,0,0,9,12,12,1,0,0,1,0,3,"NO"
194533,394,394,3,117,116,0,2,0,14,0,0,21,85,84,4,0,0,0,0,0,"NO"
191701,409,406,3,123,125,0,1,0,28,0,0,46,121,121,5,0,3,0,0,0,"NO"
189480,742,742,3,195,194,2,9,5,26,0,0,37,172,169,8,0,0,2,0,0,"SI"
189483,531,531,3,90,88,0,8,0,35,0,0,29,78,78,1,0,0,0,0,0,"NO"
189484,407,407,3,65,64,0,8,0,19,0,0,21,65,52,65,0,0,0,0,0,"NO"
